State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.58190	1.64831	1.77511	1.76907	1.79322	1.72681	1.93209	2.18568	2.20983	2.01662	1.82945	2.11926	2.20983	2.24002	2.34266	2.39700	2.34266	2.37889	2.39096	2.35474	2.27624
2	2.18308	2.21340	2.18308	2.27404	2.21340	2.18308	2.13760	2.12244	2.42564	2.56209	2.92593	2.48628	2.53177	3.01689	2.89561	2.74401	2.80465	2.54693	2.71369	2.80465	2.50144
3	4.55504	4.00624	3.59464	3.75928	3.21048	3.51232	3.51232	3.29280	4.39040	3.86904	3.53976	4.06112	3.97880	3.84160	3.18304	4.03368	4.55504	4.66480	3.86904	4.25320	4.91176
4	11.63719	12.32174	12.62598	13.15840	12.70204	12.85416	13.69082	12.24568	12.70204	13.15840	11.71325	11.78931	11.10477	10.72447	9.81175	10.03993	8.82297	8.51873	8.21449	7.45389	7.22571
5	4.54254	4.25549	4.06891	4.16938	4.16220	3.97562	3.71728	3.68140	3.22930	2.90637	2.95660	3.02119	3.20777	3.22212	3.43741	3.25082	3.20059	3.24365	3.37282	3.41588	3.26518
6	3.28982	3.43874	3.51997	3.08674	2.55875	2.50460	2.49106	2.43690	2.23383	2.26091	2.24737	2.20675	2.46398	2.40983	2.53167	2.50460	2.34214	2.39629	2.40983	2.36921	2.58583
7	3.18932	3.18932	2.97309	2.91904	2.91904	2.70281	2.64876	2.75687	3.08121	3.45960	2.48659	2.70281	2.21631	2.70281	3.02715	3.13526	3.45960	4.32450	4.16233	4.05422	3.45960
8	1.51130	1.52935	1.59074	1.55644	1.65755	1.66477	1.67922	1.66658	1.67200	1.72075	1.74964	1.75686	1.77130	1.78575	1.86881	1.84353	1.95187	1.95548	1.98978	1.95187	2.00784
9	1.41561	1.41761	1.41221	1.42260	1.42980	1.44298	1.45178	1.45857	1.47036	1.48894	1.50832	1.52131	1.54249	1.56427	1.58724	1.62281	1.63659	1.65957	1.67596	1.70832	1.72651
10	4.52181	4.69389	4.71301	4.46445	4.74169	4.81817	4.84685	5.13364	5.06673	4.96157	4.85641	5.26748	5.18144	4.81817	4.67477	4.52181	4.30194	4.30194	4.18722	3.97690	3.95778
11	2.87518	2.87809	2.89265	2.89906	2.89557	2.88799	2.88333	2.85828	2.87459	2.89731	2.91013	2.86993	2.84430	2.82216	2.77846	2.72719	2.70447	2.65844	2.62058	2.58096	2.53318
12	4.68551	4.64691	4.59360	4.55868	4.46677	4.41346	4.32155	4.27743	4.11016	3.96127	3.82340	3.65797	3.52011	3.40798	3.25357	3.11387	3.01645	2.89145	2.84733	2.74991	2.71499
13	2.31061	2.26127	2.31061	2.26949	2.17082	2.23660	2.20371	2.22016	2.19549	2.20371	2.17082	2.08037	1.92414	1.77613	1.81724	1.85835	1.80079	1.76790	1.71857	1.66923	1.56233
14	0.44975	0.45021	0.45015	0.45004	0.45084	0.45073	0.45090	0.45073	0.45141	0.45164	0.45193	0.45216	0.45250	0.45239	0.45285	0.45336	0.45325	0.45331	0.45371	0.45388	0.45457
15	1.11043	1.11144	1.11344	1.11645	1.11612	1.11344	1.11344	1.11478	1.11511	1.11511	1.11511	1.11679	1.11177	1.11378	1.10776	1.10608	1.10943	1.11545	1.11645	1.11645	1.11980
