State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.23997	4.61864	4.84264	5.42397	5.54130	6.01596	6.12796	6.09596	4.80530	3.11998	1.97332	1.84532	1.58399	1.75999	1.96799	2.31999	2.79465	3.05598	3.20531	3.14665	3.24265
2	6.49482	7.03048	8.20892	8.78475	9.37397	10.19085	10.15067	9.13293	7.74022	8.23570	5.35655	2.27654	2.24975	2.63810	3.44159	4.60664	6.32073	6.78943	7.09744	6.74926	6.33413
3	7.31998	8.26528	11.68288	14.47029	20.99041	24.16563	30.34641	37.47249	42.12625	24.69888	9.81653	13.67043	18.97863	29.59502	40.67195	40.91433	31.21899	23.65663	16.86989	13.04023	10.25282
4	14.71362	16.59482	17.73697	18.34164	18.67757	17.26667	14.71362	11.69028	9.74190	9.13723	8.33100	9.27160	11.89183	18.54320	33.05526	48.23918	58.04826	59.52635	53.68121	44.67835	36.21298
5	5.26763	6.35792	7.64471	10.31973	13.80612	19.63157	27.22558	36.60715	47.14874	54.10885	61.34154	69.72790	66.20981	56.70780	43.47852	30.97821	21.41914	14.61117	10.38946	7.85390	6.01562
6	6.58925	7.53399	9.07666	10.57150	12.70015	14.48200	16.81395	20.04281	25.63948	40.13345	49.00681	34.53677	31.05678	29.69349	29.82503	29.63369	26.16567	22.45847	18.06962	14.44613	11.93480
7	6.97136	8.64258	10.31379	15.04095	16.75991	20.24559	23.15828	25.30699	28.64942	18.52662	8.83357	12.51025	18.28788	28.79267	38.77222	46.60306	42.78313	31.46661	23.49252	16.85541	13.08324
8	4.07187	4.31270	4.48495	4.65242	4.73217	4.67156	4.20584	3.54075	2.55668	2.07820	1.75283	1.54709	1.67947	1.93944	2.46417	3.11491	3.90280	4.45465	4.51366	4.48336	4.34620
9	1.99806	1.93152	1.84769	1.72467	1.57924	1.39940	1.20543	1.01059	0.84804	0.76103	0.71426	0.71532	0.75556	0.81062	0.88316	0.97494	1.07695	1.17649	1.26968	1.34469	1.40169
10	5.16799	4.91466	4.37421	3.63955	2.76977	2.09422	1.74800	1.58755	1.46089	1.43555	1.35111	1.42711	1.46933	1.49466	1.95066	3.25955	6.02932	9.29731	11.84753	13.08886	13.72219
11	0.91913	0.86046	0.78584	0.70093	0.63145	0.56918	0.52441	0.47912	0.44876	0.42509	0.42817	0.43744	0.45082	0.47243	0.49919	0.58050	0.73695	0.92170	1.11778	1.30665	1.46207
12	1.01156	0.90115	0.79886	0.72904	0.68033	0.63162	0.61376	0.63000	0.61863	0.62837	0.63000	0.63324	0.65110	0.67871	0.67546	0.70956	0.80698	0.94986	1.26324	1.59285	1.90947
13	1.82311	1.87395	1.95385	2.07733	2.30249	2.37513	2.46955	1.89574	1.35825	0.87161	0.74086	0.71181	0.71907	0.76992	0.90792	0.95150	1.00235	1.14035	1.24204	1.28562	1.30015
14	0.40883	0.40776	0.40690	0.40523	0.40249	0.39905	0.39433	0.38739	0.37883	0.37381	0.36940	0.36824	0.37184	0.37690	0.38121	0.38648	0.39033	0.39302	0.39535	0.39621	0.39783
15	1.26006	1.25652	1.25356	1.24795	1.23643	1.22018	1.19684	1.15902	1.11293	1.08664	1.07275	1.07630	1.10377	1.14809	1.19152	1.21013	1.23022	1.23347	1.23790	1.24529	1.24233
