State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	0.57151	0.58779	1.55792	1.30439	1.82970	1.97338	3.59234
2	0.22761	3.77465	1.50749	1.28175	2.92634	5.35672	6.22655
3	0.12575	11.33726	3.96912	1.46885	3.54025	9.81683	19.99865
4	0.04537	2.27088	6.75867	2.17742	11.71487	8.33125	18.71340
5	0.48085	61.28439	9.26522	1.70237	2.95701	61.33707	25.05439
6	0.25488	52.64491	6.17932	1.54028	2.24768	49.00831	20.26330
7	0.06383	17.05393	4.07766	1.60916	2.48693	8.83384	20.17728
8	1.91107	0.86494	1.38403	1.34995	1.74988	1.75289	3.42820
9	17.27021	0.80853	1.29511	1.21634	1.50853	0.71428	1.26988
10	0.36095	0.34318	4.23723	2.22303	4.84752	1.35115	3.77277
11	5.92276	0.68009	3.15811	2.19303	2.90879	0.42819	0.72330
12	1.87722	0.39212	5.05982	2.30603	3.82393	0.63001	0.86230
13	0.41964	1.36917	2.61268	1.34280	2.17112	0.74089	1.39905
14	60.15148	0.28745	0.39712	0.72658	0.45199	0.36942	0.41722
15	10.31686	1.44731	1.15756	1.10407	1.11527	1.07278	1.28290
Base	100	0.7078851484	2.4559332366	41.8300362591	0.0009348374	0.0010584350	3.4279057616
