State (Emission order)	H3K27me3	H3K4me3	H3K27ac	H3K4me1	H3K36me3	H3K9me3
1	5.516652935582135E-5	0.006092799590058626	0.8851532489716181	0.9467626100120707	0.060426083586281064	0.020679191389497288
2	6.734933347110397E-133	0.009996487510560925	0.35258913834328215	0.10046487638199836	0.0036149550892039567	0.014805121775879462
3	3.0265084682348643E-116	0.9747816891418406	0.9822655044450797	0.8754840911626733	0.04072209993628799	0.00784860031663127
4	0.007381175796578253	0.9585244392861075	0.7902918293253344	0.5493082281304907	0.6403229340848183	0.038485306133391815
5	0.0	0.990860525959488	0.9195727787087521	2.5881385666616918E-12	0.008825274782915664	0.002349981364070885
6	0.002663520654345294	0.828262690425853	0.05807083354670231	1.0900069396181481E-11	0.004124212541389853	0.0031204160656747855
7	0.016159583481539005	0.8239107131734525	0.18302017489163158	0.8624241011984962	0.019955229734817795	0.008151885007020453
8	0.0015375352556493325	2.1081660326588214E-40	0.02755469844734397	0.5420731570371728	0.013690795010959355	0.0022313850198760034
9	9.618606348818385E-4	2.549495556769412E-4	8.381095771247382E-4	0.0052725680345027635	0.002128136454221072	0.0027777250847112168
10	1.9526964375207585E-5	0.002375390647769403	0.2532216298323265	0.671807597715938	0.48442712336168786	0.008840861630111533
11	3.820805761132297E-5	1.601826373061386E-4	0.0019303604555738706	0.0030641428779783044	0.07306560945357127	0.0013256418481553194
12	1.0201862542220012E-4	4.1688303733316526E-4	0.010420532618688902	0.005748078471116485	0.36354188190094383	0.0036698414960225057
13	0.002178586439235961	0.004424237594757273	0.008413957687646178	0.012957296551852944	0.08388046612411387	0.3760325672958071
14	8.979179905310373E-4	3.4521246579828326E-4	1.1096980461824578E-4	1.4986015879959376E-4	1.3158186138877156E-4	0.0029935306718084824
15	0.050436499997845004	7.530923150709831E-4	0.001350636839917338	0.0030244565484873137	1.7107220453305453E-4	0.0018304063692766075
