15	6	E	-3201403.48089737	200
probinit	1	0.0
probinit	2	1.509346390400518E-276
probinit	3	0.0
probinit	4	0.006884994083731568
probinit	5	0.0
probinit	6	0.013348025237878555
probinit	7	2.0203111243063482E-289
probinit	8	2.0984625223402445E-250
probinit	9	0.004143600893389813
probinit	10	0.0
probinit	11	2.8730935034745744E-225
probinit	12	5.602863655141368E-250
probinit	13	0.08441237777183937
probinit	14	0.8912110020131607
probinit	15	4.3887284267058545E-22
transitionprobs	1	1	0.657569912059272
transitionprobs	1	2	0.09458057493842602
transitionprobs	1	3	0.026678903191551567
transitionprobs	1	4	0.0
transitionprobs	1	5	0.004020867021210969
transitionprobs	1	6	2.776977805433998E-4
transitionprobs	1	7	3.178958811491375E-4
transitionprobs	1	8	0.19075879652805627
transitionprobs	1	9	0.012311907125834902
transitionprobs	1	10	0.00854921451339771
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	1	13	0.004934230960558132
transitionprobs	1	14	0.0
transitionprobs	1	15	0.0
transitionprobs	2	1	0.18185670515380067
transitionprobs	2	2	0.5890522176096582
transitionprobs	2	3	0.024799144186206608
transitionprobs	2	4	4.2950893666813476E-4
transitionprobs	2	5	0.03995072152066346
transitionprobs	2	6	0.003811087982144571
transitionprobs	2	7	0.0
transitionprobs	2	8	0.018340318254393428
transitionprobs	2	9	0.08856366657005048
transitionprobs	2	10	0.02120841742288896
transitionprobs	2	11	0.013820022377033506
transitionprobs	2	12	6.55621069966003E-4
transitionprobs	2	13	0.006314868920977874
transitionprobs	2	14	0.011197699995548205
transitionprobs	2	15	0.0
transitionprobs	3	1	0.11645239611754499
transitionprobs	3	2	0.05686910032744521
transitionprobs	3	3	0.3966907389349492
transitionprobs	3	4	0.0073587675773502306
transitionprobs	3	5	0.2668832564525131
transitionprobs	3	6	0.04247153541597291
transitionprobs	3	7	0.04866217774434553
transitionprobs	3	8	0.044080092884974234
transitionprobs	3	9	0.005514590092753718
transitionprobs	3	10	0.012800117598722054
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0022172268534287635
transitionprobs	3	14	0.0
transitionprobs	3	15	0.0
transitionprobs	4	1	0.0
transitionprobs	4	2	0.005238267785142183
transitionprobs	4	3	0.022730822560961546
transitionprobs	4	4	0.6855085704470173
transitionprobs	4	5	0.12652442813244918
transitionprobs	4	6	0.04089590476578778
transitionprobs	4	7	1.2063616594896798E-8
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	0.10219195403892739
transitionprobs	4	11	0.0
transitionprobs	4	12	0.009456542730746944
transitionprobs	4	13	0.007453497475351195
transitionprobs	4	14	0.0
transitionprobs	4	15	0.0
transitionprobs	5	1	0.004387906287942802
transitionprobs	5	2	0.024945457114482244
transitionprobs	5	3	0.07595610839364131
transitionprobs	5	4	0.013783839104082518
transitionprobs	5	5	0.7628050962908338
transitionprobs	5	6	0.0970191968229908
transitionprobs	5	7	0.01204565876169025
transitionprobs	5	8	0.0030312017162025112
transitionprobs	5	9	0.003562257018769815
transitionprobs	5	10	8.097632670462044E-7
transitionprobs	5	11	6.727855159503752E-4
transitionprobs	5	12	0.0
transitionprobs	5	13	7.640129655068393E-4
transitionprobs	5	14	0.001025670244639725
transitionprobs	5	15	0.0
transitionprobs	6	1	6.82543794310016E-4
transitionprobs	6	2	0.004128079430405366
transitionprobs	6	3	0.02043596646498756
transitionprobs	6	4	0.007478794501978199
transitionprobs	6	5	0.16720359135331658
transitionprobs	6	6	0.5561341759749178
transitionprobs	6	7	0.077717221262861
transitionprobs	6	8	0.0492766715017403
transitionprobs	6	9	0.04846187168824747
transitionprobs	6	10	0.006671053457286303
transitionprobs	6	11	0.011534585694801577
transitionprobs	6	12	8.547216518131402E-4
transitionprobs	6	13	0.001957879336301774
transitionprobs	6	14	0.02843454525158316
transitionprobs	6	15	0.019028298635449883
transitionprobs	7	1	0.0018971578884499328
transitionprobs	7	2	0.0
transitionprobs	7	3	0.08069135737428076
transitionprobs	7	4	0.0
transitionprobs	7	5	0.05785460344815468
transitionprobs	7	6	0.242369460016461
transitionprobs	7	7	0.27680405641085415
transitionprobs	7	8	0.2139334932990138
transitionprobs	7	9	0.033316620537253844
transitionprobs	7	10	0.029642508363780386
transitionprobs	7	11	0.017792339640138176
transitionprobs	7	12	5.928236630405091E-4
transitionprobs	7	13	0.0019642580128602176
transitionprobs	7	14	0.0030626713266038398
transitionprobs	7	15	0.04007865001910866
transitionprobs	8	1	0.04968099908139763
transitionprobs	8	2	0.002602662735775972
transitionprobs	8	3	0.0029270119639215122
transitionprobs	8	4	0.0
transitionprobs	8	5	5.245706894503907E-4
transitionprobs	8	6	0.0057605003881891
transitionprobs	8	7	0.007401157767732398
transitionprobs	8	8	0.7393156857811307
transitionprobs	8	9	0.1710842533716375
transitionprobs	8	10	0.0045281839339397145
transitionprobs	8	11	0.01037832308237346
transitionprobs	8	12	5.9125216070257615E-6
transitionprobs	8	13	2.563113717526093E-4
transitionprobs	8	14	2.427686237615156E-7
transitionprobs	8	15	0.005534184542468264
transitionprobs	9	1	3.751492904501406E-4
transitionprobs	9	2	0.0015593684861256746
transitionprobs	9	3	4.291621421185439E-5
transitionprobs	9	4	0.0
transitionprobs	9	5	1.4742552047639025E-4
transitionprobs	9	6	6.890624014472591E-4
transitionprobs	9	7	2.2156783157066716E-4
transitionprobs	9	8	0.02256026325045722
transitionprobs	9	9	0.9659821386866799
transitionprobs	9	10	0.0
transitionprobs	9	11	0.001996585776669953
transitionprobs	9	12	0.0
transitionprobs	9	13	0.0029059318103244287
transitionprobs	9	14	9.236172549760119E-4
transitionprobs	9	15	0.002595973476610428
transitionprobs	10	1	0.012757538991044644
transitionprobs	10	2	0.015624922521901067
transitionprobs	10	3	0.004609021520631829
transitionprobs	10	4	0.013849634051875169
transitionprobs	10	5	0.0
transitionprobs	10	6	0.003927024767774061
transitionprobs	10	7	0.005317227256805941
transitionprobs	10	8	0.02238736243600463
transitionprobs	10	9	0.0
transitionprobs	10	10	0.7426395574322842
transitionprobs	10	11	0.09169856361522766
transitionprobs	10	12	0.08634628177929067
transitionprobs	10	13	8.428656271601917E-4
transitionprobs	10	14	0.0
transitionprobs	10	15	0.0
transitionprobs	11	1	0.0
transitionprobs	11	2	8.2222987370329E-4
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0
transitionprobs	11	5	0.0
transitionprobs	11	6	5.61188504575517E-4
transitionprobs	11	7	2.472126368074757E-4
transitionprobs	11	8	0.003999973278354438
transitionprobs	11	9	0.005830024638592642
transitionprobs	11	10	0.005921237206801084
transitionprobs	11	11	0.9707154948457412
transitionprobs	11	12	0.010845254992641709
transitionprobs	11	13	0.0010573840227825993
transitionprobs	11	14	0.0
transitionprobs	11	15	0.0
transitionprobs	12	1	0.0
transitionprobs	12	2	1.3622080031999226E-4
transitionprobs	12	3	1.8835372176290754E-5
transitionprobs	12	4	3.0708035461753374E-4
transitionprobs	12	5	0.0
transitionprobs	12	6	8.28061396248668E-5
transitionprobs	12	7	7.3879860739588676E-6
transitionprobs	12	8	1.175182287263611E-6
transitionprobs	12	9	0.0
transitionprobs	12	10	0.016457492534684245
transitionprobs	12	11	0.032122764769711924
transitionprobs	12	12	0.9494234468931169
transitionprobs	12	13	0.001442789967387155
transitionprobs	12	14	0.0
transitionprobs	12	15	0.0
transitionprobs	13	1	0.006983702060522265
transitionprobs	13	2	0.0030087965711939986
transitionprobs	13	3	4.0634663630326857E-4
transitionprobs	13	4	9.426057977620999E-4
transitionprobs	13	5	8.249628653027315E-4
transitionprobs	13	6	7.683172055971559E-4
transitionprobs	13	7	3.1315514831115884E-4
transitionprobs	13	8	8.986718293040799E-4
transitionprobs	13	9	0.09375051156511502
transitionprobs	13	10	7.253955995852136E-4
transitionprobs	13	11	0.014415335629056709
transitionprobs	13	12	0.005494287966202173
transitionprobs	13	13	0.8644334726187255
transitionprobs	13	14	0.003835147465349144
transitionprobs	13	15	0.0031992910416694074
transitionprobs	14	1	0.0
transitionprobs	14	2	6.144560282867641E-5
transitionprobs	14	3	0.0
transitionprobs	14	4	0.0
transitionprobs	14	5	2.645990793919952E-6
transitionprobs	14	6	1.3210763024927306E-4
transitionprobs	14	7	4.334103377819273E-6
transitionprobs	14	8	0.0
transitionprobs	14	9	2.669732741768785E-4
transitionprobs	14	10	0.0
transitionprobs	14	11	0.0
transitionprobs	14	12	0.0
transitionprobs	14	13	2.3277147057158203E-5
transitionprobs	14	14	0.999091498341251
transitionprobs	14	15	4.1771791026525956E-4
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	4.918989796342195E-4
transitionprobs	15	7	3.3372472497640994E-4
transitionprobs	15	8	0.0010458979666833326
